1	 2.60769988093017601738e-01
2	 1.33809675959509183363e-01
3	 1.04042190402847581354e-01
4	 8.38343122553318886858e-02
5	 7.26060709336236037581e-02
6	 6.39492783956938232182e-02
7	 5.77836531014141382978e-02
8	 5.28377686214730885039e-02
9	 4.89125785812971822231e-02
10	 4.56451265610928816341e-02
11	 4.29008250988997530406e-02
12	 4.05420636060316447180e-02
13	 3.84906290309931856108e-02
14	 3.66815132215198361210e-02
15	 3.50697546799370180048e-02
16	 3.36194384735681583987e-02
17	 3.23042086009054096873e-02
18	 3.11018810630505314341e-02
19	 2.99966980246082585981e-02
20	 2.89737428618628035937e-02
21	 2.80235074106828449536e-02
22	 2.71352477667748531731e-02
23	 2.63032731453163616531e-02
24	 2.55193893905629846930e-02
25	 2.47803110200553976250e-02
26	 2.40794850066123819476e-02
27	 2.34151815206760614829e-02
28	 2.27819540625875567585e-02
29	 2.21791005526827886274e-02
30	 2.16019534065679356949e-02
31	 2.10505008169935801943e-02
32	 2.05206460277787133828e-02
33	 2.00128461749168491679e-02
34	 1.95234386967801966384e-02
35	 1.90532011146112567612e-02
36	 1.85988124489015436980e-02
37	 1.81612687714043687104e-02
38	 1.77375259524786901832e-02
39	 1.73287274703879390358e-02
40	 1.69320594414257008520e-02
41	 1.65487622049204849417e-02
42	 1.61762176122076557772e-02
43	 1.58157264289986235206e-02
44	 1.54648400024144459103e-02
45	 1.51248929453458042654e-02
46	 1.47935856590501371016e-02
47	 1.44722670341863434568e-02
48	 1.41587702448716309944e-02
49	 1.38544439607180009527e-02
50	 1.35572409005909402802e-02
51	 1.32684987390544913144e-02
52	 1.29862787998799127098e-02
53	 1.27118997628939949668e-02
54	 1.24435223657041772738e-02
55	 1.21824403853514062757e-02
56	 1.19269061427907940853e-02
57	 1.16781841977308623731e-02
58	 1.14346116998973318379e-02
59	 1.11974209017166106972e-02
60	 1.09650278905196844892e-02
61	 1.07386304691449944310e-02
62	 1.05167184735149056574e-02
63	 1.03004538516995331615e-02
64	 1.00883955771126181122e-02
65	 9.88166891318964339674e-03
66	 9.67889784061402858040e-03
67	 9.48117055803140290626e-03
68	 9.28717232731849674787e-03
69	 9.09795425355438593107e-03
70	 8.91225949652126557543e-03
71	 8.73110231278855473958e-03
72	 8.55328066999143897531e-03
73	 8.37977243355742668074e-03
74	 8.20942754177614135436e-03
